Category,Sub_Category,Machine,Model,Product_Code,Product_Name,Unit,Qty,Part_Number,Brand,Product_Type,Import_Type,Country_Of_Orgin,Serial_NO,Store,Rack,Bin,Status
,,,,1702381,Timing Belt-1420xD5mm,pcs,1,,,,,,,,,,
,,,,172335,Timing Belt-1690xD5mx20mm,pcs,4,,,,,,,,,,
,,,,1702323,Timing Belt-1350xD5mx20mm,pcs,1,,,,,,,,,,
,,,,1702342,Timing Belt-615xD5mx15mm,pcs,2,,,,,,,,,,
,,,,172325,Timing Belt-435xD5mx10mm,pcs,4,,,,,,,,,,
,,,,1702404,Timing Belt-2000xD5mx25mm,pcs,2,,,,,,,,,,
,,,,1702360,V Revit Belt- 1397x10PJ,pcs,2,,,,,,,,,,
,,,,1702326,V Revit Belt- 1054x8PJ,pcs,2,,,,,,,,,,
,,,,1702361,V Revit Belt- 330x10PJ,Pcs,2,,,,,,,,,,
,,,,1702327,V Revit Belt- 1549x8PJ,Pcs,3,,,,,,,,,,
,,,,1702322,V Revit Belt- 1752x8PJ,Pcs,1,,,,,,,,,,
,,,,,Timing Belt-540x8mx150mm,Pcs,2,,,,,,,,,,
,,,,1702376,V Revit Belt- 1245x8PJ,Pcs,2,,,,,,,,,,
,,,,1702339,V Revit Belt- 533x6PJ,Pcs,3,,,,,,,,,,
,,,,1702356,V Revit Belt- 2337x10PJ,Pcs,2,,,,,,,,,,
,,,,,Flat Belt-1002x20x2mm,Pcs,5,,,,,,,,,,
,,,,,Flat Belt-960x20x2mm,Pcs,1,,,,,,,,,,
,,,,1702345,Flat Belt-1960x22x2mm,Pcs,2,,,,,,,,,,
,,,,,Flat Belt-1512x20x2mm,Pcs,2,,,,,,,,,,
,,,,,Flat Belt-5100x20x2mm,Pcs,1,,,,,,,,,,
,,,,172357,Flat Belt-882x20x2mm,Pcs,3,,,,,,,,,,
,,,,172186,Flat Belt-955x16x2mm,Pcs,1,,,,,,,,,,
,,,,1702021,Flat Belt-1750x32x5mm,Pcs,3,,,,,,,,,,
,,,,,Flat Belt-3270x30x3mm,Pcs,2,,,,,,,,,,
,,,,1702176,Flat Belt-8000x15L,Pcs,1,,,,,,,,,,
,,,,1702149,Flat Belt-5910x15x1.5m,Pcs,2,,,,,,,,,,
,,,,,Cone Drum Belt-2305x50x5mm,Pcs,1,,,,,,,,,,
,,,,1702331,Flat Belt-1000x12x2m,Pcs,2,,,,,,,,,,
,,,,1702013,V- Belt A32,Pcs,5,,,,,,,,,,
,,,,,V- Belt XPZ2000,Pcs,2,,,,,,,,,,
,,,,1702250,V- Belt A30,Pcs,3,,,,,,,,,,
,,,,1702132,V- Belt 3B 750,Pcs,6,,,,,,,,,,
,,,,1702023,V- Belt A71,Pcs,1,,,,,,,,,,
,,,,1702016,V- Belt A28,Pcs,4,,,,,,,,,,
,,,,1702058,V- Belt A72,Pcs,1,,,,,,,,,,
,,,,1702045,Poly Band Roup 380 J3,Pcs,5,,,,,,,,,,
,,,,172133,Poly Band Roup 280 J3,Pcs,4,,,,,,,,,,
,,,,1702147,Poly Band Roup 230-235 J3,Pcs,4,,,,,,,,,,
,,,,1702216,V Belt  Roup Type 370-J3,Pcs,4,,,,,,,,,,
,,,,1713009,Fiber Gear 16Teeth R- Side,Pcs,13,,,,,,,,,,
,,,,,Reset Col Big,Pcs,100,,,,,,,,,,
,,,,,Reset Col Small,Pcs,100,,,,,,,,,,
900000,918000,,,918005,Coper Brass,Pcs,14,,,,,,,,,,
,,,,,Lock Tite 638,Pcs,1,,,,,,,,,,
,,,,,V Revit Belt- 1753 8PJ,Pcs,1,,,,,,,,,,
,,,,,Gear Reversing Bevel -2.5m-100T,Pcs,1,P/N-FO226-19-010-00,,,,,,,,,
,,,,,Gear Defferencial Bevel -2.5m-100,Pcs,1,,,,,,,,,,
,,,,,Arm Revolbing ,Pcs,1, (P/N-FO240-07010-00,,,,,,,,,
,,,,,Pine on Differencial -2.5m 29T,Pcs,1,P/N-FO212-32-010-00,,,,,,,,,
,,,,,Gear Complete Under Carier(3m-55T) ,Pcs,1,,,,,,,,,,
,,,,,Gear  Carier Twist -52T ,Pcs,1,,,,,,,,,,
,,,,,P/N-FO301-28-010-00,,,,,,,,,,,,
,,,,1717055,Liver Sweing ,Pcs,1,(P/N- F2301-07011-00),,,,,,,,,
,,,,1717071,Slide Lifter (OE) ,Pcs,1,P/N-F3601-380-10-00),,,,,,,,,
