Category,Sub_Category,Machine,Model,Product_Code,Product_Name,Unit,Qty,Part_Number,Brand,Product_Type,Import_Type,Country_Of_Orgin,Serial_NO,Store,Rack,Bin,Status
,,,,,Slide Middle,Pcs,6,,,,,,,,,,
,,,,,Bulding Rachet -25Teeth ,Pcs,4,,,,,,,,,,
,,,,,M.S. Helical Gear-16Teeth,Pcs,4,,,,,,,,,,
,,,,17.13.015,Reducer (H) 6x3.7,pcs,1,,,,,,,,,,
,,,,,Reducer (H) 4.1,Pcs,4,,,,,,,,,,
,,,,17.13.020,Helical Gear - 41Teeth,Pcs,4,,,,,,,,,,
,,,,17.13.010,Clear Bras Complete,Pcs,1,,,,,,,,,,
,,,,,Fiber Gear - 16Teeth,Pcs,8,,,,,,,,,,
,,,,,End Bush ,Pcs,2,,,,,,,,,,
,,,,17.17.084,Spring Assy Bearing Motion ,Pcs,3,,,,,,,,,,
,,,,17.17.085,Spring For lail Clatch,pcs,3,,,,,,,,,,
,,,,17.17.056,Spring For Hook Clatch,pcs,2,,,,,,,,,,
,,,,17.17.069,Picee stop Reversing Braket,pcs,2,,,,,,,,,,
,,,,17.17.064,Stud Clatch FA2301-370011-00,pcs,2,,,,,,,,,,
,,,,17.17.030,Front Condencer F4128/01050-00,pcs,40,,,,,,,,,,
,,,,17.07.055,Syn Rubber Cots -19x40x28,pcs,16,,,,,,,,,,
,,,,17.13.016,Speed Reduction ,pcs,1,,,,,,,,,,
800000,,,,08.13.011,Custer wheel -2-1/2'',pcs,10,,,,,,,,,,
,,,,,Front Condencer,pcs,120,,,,,,,,,,
,,,,,Flyer Pressure,pcs,238,,,,,,,,,,
,,,,,Powl,pcs,7, (P/N-A456-18103),,,,,,,,,
,,,,,Bevel Shaped Pawl ,pcs,7,P/N-A456-18102,,,,,,,,,
,,,,17.02.047,V- Belt-Rope-159x160G3,pcs,4,,,,,,,,,,
,,,,17.02.028,Timing Belt-3048x8mx20m,pcs,3,,,,,,,,,,
,,,,17.02.019,Timing Belt-1600x8mx20m,pcs,4,,,,,,,,,,
,,,,17.02.125,Timing Belt-950x5mx25m,pcs,2,,,,,,,,,,
,,,,17.02.134,Timing Belt-1440x8mx20m,pcs,2,,,,,,,,,,
,,,,17.02.372,Timing Belt-1270x5mx25m,pcs,2,,,,,,,,,,
,,,,17.02.324,Timing Belt-960x8mx20m,pcs,3,,,,,,,,,,
,,,,17.02.020,Timing Belt-1200x8mx20m,pcs,3,,,,,,,,,,
,,,,17.02.382,Timing Belt-2000x5mx25m,pcs,2,,,,,,,,,,
,,,,17.02.138,Timing Belt-850Hx200mm,pcs,3,,,,,,,,,,
,,,,17.02.292,Timing Belt-700Hx150m,pcs,2,,,,,,,,,,
,,,,17.02.380,Timing Belt-800x5x20mm,pcs,2,,,,,,,,,,
,,,,17.02.145,Timing Belt-1248x8x20mm,pcs,2,,,,,,,,,,
,,,,17.02.146,Timing Belt-3200x8x20mm,pcs,2,,,,,,,,,,
,,,,17.02.381,Timing Belt-1420xD5mm,pcs,1,,,,,,,,,,
,,,,17.2.335,Timing Belt-1690xD5mx20mm,pcs,4,,,,,,,,,,
,,,,17.02.323,Timing Belt-1350xD5mx20mm,pcs,1,,,,,,,,,,
,,,,17.02.342,Timing Belt-615xD5mx15mm,pcs,2,,,,,,,,,,
,,,,17.2.325,Timing Belt-435xD5mx10mm,pcs,4,,,,,,,,,,
,,,,17.02.404,Timing Belt-2000xD5mx25mm,pcs,2,,,,,,,,,,
,,,,17.02.360,V Revit Belt- 1397x10PJ,pcs,2,,,,,,,,,,
,,,,17.02.326,V Revit Belt- 1054x8PJ,pcs,2,,,,,,,,,,
,,,,17.02.361,V Revit Belt- 330x10PJ,Pcs,2,,,,,,,,,,
,,,,17.02.327,V Revit Belt- 1549x8PJ,Pcs,3,,,,,,,,,,
,,,,17.02.322,V Revit Belt- 1752x8PJ,Pcs,1,,,,,,,,,,
,,,,,Timing Belt-540x8mx150mm,Pcs,2,,,,,,,,,,
,,,,17.02.376,V Revit Belt- 1245x8PJ,Pcs,2,,,,,,,,,,
,,,,17.02.339,V Revit Belt- 533x6PJ,Pcs,3,,,,,,,,,,
,,,,17.02.356,V Revit Belt- 2337x10PJ,Pcs,2,,,,,,,,,,
